Nazwa zmiennej;Jednostka terytorialna;Sposób prezentacji;Rok;Miesi¹c;Wartoœæ;Flaga;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2022;1;109,4;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2022;2;108,5;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2022;3;111,0;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2022;4;112,4;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2022;5;113,9;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2022;6;115,5;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2022;7;115,6;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2022;8;;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2022;9;;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2022;10;;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2022;11;;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2022;12;;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2022;1;109,4;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2022;2;109,0;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2022;3;109,7;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2022;4;110,3;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2022;5;111,1;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2022;6;111,8;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2022;7;112,4;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2022;8;;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2022;9;;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2022;10;;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2022;11;;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2022;12;;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2021;1;102,6;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2021;2;102,4;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2021;3;103,2;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2021;4;104,3;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2021;5;104,7;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2021;6;104,4;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2021;7;105,0;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2021;8;105,5;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2021;9;105,9;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2021;10;106,8;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2021;11;107,8;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2021;12;108,6;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2021;1;102,6;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2021;2;102,5;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2021;3;102,7;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2021;4;103,1;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2021;5;103,5;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2021;6;103,6;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2021;7;103,8;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2021;8;104,0;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2021;9;104,2;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2021;10;104,5;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2021;11;104,8;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny okres narastaj¹cy poprzedniego roku = 100;2021;12;105,1;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2020;1;104,3;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2020;2;104,7;;;
