wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2688;2591;70,7182;68,1663
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13306;12777;69,7343;66,9619
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1229525;1192320;68,5291;66,4554
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2470;2395;68,2886;66,2151
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;15009;14494;68,3128;65,9688
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;360926;350018;67,8371;65,7869
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;424275;411884;66,0939;64,1636
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12102;11759;65,9114;64,0434
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16135;15596;65,5335;63,3443
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;505794;492094;64,8482;63,0917
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;55868;54163;64,7993;62,8217
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6140;5979;64,1253;62,4439
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;302811;293621;64,3177;62,3657
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19224;18541;64,5816;62,2871
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15123;14732;63,7671;62,1184
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11851;11474;64,0179;61,9814
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3497;3401;63,5934;61,8476
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17622;17069;63,6058;61,6098
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20284;19650;63,3578;61,3775
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14309;13842;63,4292;61,3591
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;804;789;62,3256;61,1628
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18136;17514;62,737;60,5853
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;39204;37808;62,6032;60,374
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13453;13028;62,2536;60,2869
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1491;1435;62,5157;60,1677
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6506;6288;62,1751;60,0917
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;9368;9065;61,9372;59,9339
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6551;6329;62,036;59,9337
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;151859;146715;61,9911;59,8913
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;32243;31222;61,7611;59,8054
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21777;21093;61,7157;59,7772
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;32951;31895;61,5573;59,5845
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;16589;15964;61,8716;59,5405
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;17011;16531;61,2347;59,5068
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;13607;13144;61,4201;59,3301
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14445;14039;60,9751;59,2613
32;zachodniopomorskie;3205;gryficki;3205072;gm.w Rewal;Szczeciński;3852;2347;2278;60,9294;59,1381
24;śląskie;2401;będziński;2401042;gm.w Bobrowniki;Katowicki;12122;7377;7168;60,8563;59,1322
14;mazowieckie;1421;pruszkowski;1421052;gm.w Nadarzyn;Warszawski;14353;8797;8463;61,2903;58,9633
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;11793;11390;61,0214;58,9361
24;śląskie;2469;Katowice;2469011;Katowice;;290553;175844;170783;60,5205;58,7786
4;kujawsko-pomorskie;403;bydgoski;403062;gm.w Osielsko;Bydgoski;15347;9199;9014;59,9401;58,7346
30;wielkopolskie;3021;poznański;3021052;gm.w Dopiewo;Poznański;29328;17707;17221;60,3758;58,7186
12;małopolskie;1206;krakowski;1206082;gm.w Michałowice;Krakowski;10909;6594;6379;60,4455;58,4747
10;łódzkie;1061;Łódź;1061011;Łódź;;672185;404826;392113;60,2254;58,3341
30;wielkopolskie;3024;szamotulski;3024073;gm.m-w. Szamotuły;;30188;18155;17605;60,1398;58,3179
14;mazowieckie;1432;warszawski zachodni;1432072;gm.w Stare Babice;Warszawski;19605;11797;11384;60,1734;58,0668
4;kujawsko-pomorskie;401;aleksandrowski;401021;Ciechocinek;Włocławski;10534;6250;6111;59,3317;58,0122
30;wielkopolskie;3021;poznański;3021123;gm.m-w. Pobiedziska;Poznański;19943;12010;11567;60,2216;58,0003
14;mazowieckie;1408;legionowski;1408022;gm.w Jabłonna;Warszawski;20096;12002;11644;59,7233;57,9419
10;łódzkie;1002;kutnowski;1002011;Kutno;;43332;25877;25059;59,718;57,8302
14;mazowieckie;1405;grodziski;1405011;Milanówek;Warszawski;16478;9843;9515;59,7342;57,7437
14;mazowieckie;1432;warszawski zachodni;1432063;gm.m-w. Ożarów Mazowiecki;Warszawski;26151;15680;15098;59,9595;57,7339
14;mazowieckie;1412;miński;1412151;Sulejówek;Warszawski;19951;11858;11518;59,4356;57,7314
14;mazowieckie;1417;otwocki;1417011;Józefów;Warszawski;20741;12409;11974;59,8284;57,7311
12;małopolskie;1206;krakowski;1206152;gm.w Wielka Wieś;Krakowski;13162;7822;7598;59,4287;57,7268
14;mazowieckie;1408;legionowski;1408032;gm.w Nieporęt;Warszawski;14841;8902;8567;59,9825;57,7252
24;śląskie;2401;będziński;2401062;gm.w Psary;Katowicki;12268;7331;7079;59,7571;57,703
30;wielkopolskie;3021;poznański;3021072;gm.w Komorniki;;31474;18750;18142;59,573;57,6412
32;zachodniopomorskie;3207;kamieński;3207013;gm.m-w. Dziwnów;Szczeciński;3939;2329;2269;59,1267;57,6035
30;wielkopolskie;3001;chodzieski;3001011;Chodzież;Pilski;18229;10856;10496;59,5535;57,5786
24;śląskie;2401;będziński;2401031;Wojkowice;Katowicki;8877;5266;5106;59,3218;57,5194
12;małopolskie;1213;oświęcimski;1213082;gm.w Przeciszów;Bielski;6739;3986;3874;59,1482;57,4863
14;mazowieckie;1434;wołomiński;1434041;Zielonka;Warszawski;17486;10389;10039;59,4132;57,4116
30;wielkopolskie;3021;poznański;3021033;gm.m-w. Buk;Poznański;12673;7692;7275;60,696;57,4055
14;mazowieckie;1414;nowodworski;1414011;Nowy Dwór Mazowiecki;Warszawski;28691;17052;16466;59,4333;57,3908
14;mazowieckie;1417;otwocki;1417043;gm.m-w. Karczew;Warszawski;15930;9531;9137;59,8305;57,3572
22;pomorskie;2204;gdański;2204011;Pruszcz Gdański;;31578;18698;18096;59,2121;57,3057
14;mazowieckie;1432;warszawski zachodni;1432042;gm.w Leszno;Warszawski;10165;6028;5818;59,3015;57,2356
30;wielkopolskie;3023;słupecki;3023011;Słupca;Koniński;13564;7937;7754;58,5152;57,166
4;kujawsko-pomorskie;461;Bydgoszcz;461011;Bydgoszcz;;344091;201591;196519;58,5865;57,1125
4;kujawsko-pomorskie;463;Toruń;463011;Toruń;;198613;116295;113319;58,5536;57,0552
30;wielkopolskie;3021;poznański;3021083;gm.m-w. Kostrzyn;Poznański;18764;11097;10689;59,1398;56,9655
12;małopolskie;1206;krakowski;1206103;gm.m-w. Skała;Krakowski;10553;6164;6002;58,4099;56,8748
10;łódzkie;1004;łęczycki;1004011;Łęczyca;Płocki;13786;8062;7839;58,4796;56,862
